alpha_deg,direction,C_L,C_D,converged
0,Pitch-Up,-0.0001,0.00812,True
2,Pitch-Up,0.220,0.00833,True
4,Pitch-Up,0.439,0.00895,True
6,Pitch-Up,0.656,0.01000,True
8,Pitch-Up,0.869,0.01155,True
10,Pitch-Up,1.074,0.01366,True
12,Pitch-Up,1.270,0.01651,True
14,Pitch-Up,1.450,0.02038,True
16,Pitch-Up,1.605,0.02600,True
18,Pitch-Up,1.711,0.03579,True
20,Pitch-Up,1.602,0.06934,False
22,Pitch-Up,0.816,0.26881,False
22,Pitch-Down,0.825,0.26881,False
20,Pitch-Down,1.602,0.06934,False
18,Pitch-Down,1.711,0.03579,True
16,Pitch-Down,1.605,0.02600,True
14,Pitch-Down,1.450,0.02038,True
12,Pitch-Down,1.270,0.01651,True
10,Pitch-Down,1.074,0.01366,True
8,Pitch-Down,0.869,0.01155,True
6,Pitch-Down,0.656,0.01000,True
4,Pitch-Down,0.439,0.00895,True
2,Pitch-Down,0.220,0.00833,True
0,Pitch-Down,-0.0001,0.00812,True
